"","number","name","year","theme","themeGroup","subtheme","category","packagingType","availability","ageRange","minifigs","pieces","retailPrice","pp","collections.ownedBy","collections.wantedBy"
"977","31067","Modular Poolside Holiday",2017,"Creator","Model making","3 in 1","Normal","Box","Retail",7,2,356,24.99,0.0701966292134831,3688,1919
"978","31068","Modular Modern Home",2017,"Creator","Model making","3 in 1","Normal","Box","Retail",8,2,386,34.99,0.0906476683937824,4425,2186
"979","31069","Modular Family Villa",2017,"Creator","Model making","3 in 1","Normal","Box","Retail",8,3,728,59.99,0.0824038461538462,3550,2309
"980","31070","Turbo Track Racer",2017,"Creator","Model making","3 in 1","Normal","Box","Retail",9,0,664,49.99,0.0752861445783133,2367,881
"981","40170","Build My City Accessory Set",2017,"City","Modern day","Miscellaneous","Normal","Box","LEGO exclusive",NA,0,100,9.99,0.0999,3064,1495
"982","40171","Hedgehog Storage",2017,"Friends","Modern day","Miscellaneous","Normal","Box","LEGO exclusive",6,0,249,12.99,0.0521686746987952,895,363
"983","40172","Brick Calendar",2017,"Miscellaneous","Miscellaneous","Accessories","Normal","Box","LEGO exclusive",7,1,278,19.99,0.0719064748201439,4145,670
"984","40173","Picture Frame",2017,"Miscellaneous","Miscellaneous","Photo frames","Normal","Box","LEGO exclusive",NA,0,268,16.99,0.0633955223880597,1534,206
"985","40174","LEGO Chess",2017,"Miscellaneous","Miscellaneous","Games","Normal","Box","LEGO exclusive",9,0,1450,64.99,0.0448206896551724,4038,1007
"986","40234","Year of the Rooster",2017,"Seasonal","Miscellaneous","Chinese Traditional Festivals","Normal","Box","Retail - limited",7,0,157,9.99,0.0636305732484077,1337,827
"987","40236","Romantic Valentine Picnic",2017,"Seasonal","Miscellaneous","Valentine's Day","Normal","Box","LEGO exclusive",7,2,126,9.99,0.0792857142857143,5701,1069
"988","40237","Easter Egg Hunt",2017,"Seasonal","Miscellaneous","Easter","Normal","Box","LEGO exclusive",7,2,145,9.99,0.0688965517241379,6144,904
"989","40251","Mini Piggy Bank",2017,"Creator","Model making","Promotional","Normal","Box","LEGO exclusive",7,0,248,14.99,0.0604435483870968,4186,375
"990","40252","Mini Volkswagen Beetle",2017,"Creator","Model making","Promotional","Normal","Box","LEGO exclusive",8,0,141,8.79,0.0623404255319149,7425,1629
"991","40253","Christmas Build-Up",2017,"Seasonal","Miscellaneous","Christmas","Normal","Box","LEGO exclusive",7,0,254,9.99,0.0393307086614173,5875,374
"992","40254","Nutcracker",2017,"Seasonal","Miscellaneous","Christmas","Normal","Box","LEGO exclusive",7,0,230,9.99,0.0434347826086957,8777,764
"993","40256","Create The World",2017,"Promotional","Miscellaneous",NA,"Normal","Box","Retail - limited",7,2,103,12.58,0.122135922330097,843,497
"994","40260","Halloween Haunt",2017,"Seasonal","Miscellaneous","Halloween","Normal","Box","LEGO exclusive",7,2,145,9.99,0.0688965517241379,5412,1381
"995","40261","Thanksgiving Harvest",2017,"Seasonal","Miscellaneous","Thanksgiving","Normal","Box","LEGO exclusive",7,2,133,9.99,0.0751127819548872,4647,1000
"996","40262","Christmas Train Ride",2017,"Seasonal","Miscellaneous","Christmas","Normal","Box","LEGO exclusive",7,3,169,9.99,0.059112426035503,7656,1113
"997","40263","Christmas Town Square",2017,"Seasonal","Miscellaneous","Christmas","Normal","Box","LEGO exclusive",7,3,179,9.99,0.0558100558659218,5766,1296
"998","40264","Build My Heartlake City Accessory Set",2017,"Friends","Modern day","Miscellaneous","Normal","Box","LEGO exclusive",NA,0,121,9.99,0.0825619834710744,863,330
"999","40265","Tic-Tac-Toe",2017,"Friends","Modern day","Miscellaneous","Normal","Polybag","LEGO exclusive",6,0,58,4.99,0.0860344827586207,2014,355
"1000","40266","Mini Keepsake Box",2017,"Friends","Modern day","Accessories","Normal","Box","LEGO exclusive",6,0,105,5.99,0.057047619047619,962,265
"1001","40269","Photo frame",2017,"Duplo","Pre-school",NA,"Normal","Polybag","{Not specified}",NA,1,7,4.39,0.627142857142857,95,38
"1002","40308","Lester",2017,"Promotional","Miscellaneous","LEGO brand stores","Normal","Polybag","LEGO exclusive",5,1,5,5.27,1.054,4338,828
"1003","30542","Cute Pug",2018,"Creator","Model making","3 in 1","Normal","Polybag","Retail - limited",6,0,68,3.99,0.0586764705882353,5724,580
"1004","30543","Christmas Train",2018,"Creator","Model making","Seasonal","Normal","Polybag","Retail - limited",6,0,66,3.51,0.0531818181818182,5271,645
"1005","30552","Ariel's Underwater Symphony",2018,"Disney","Licensed","The Little Mermaid","Normal","Polybag","{Not specified}",5,1,51,4.39,0.086078431372549,1317,497
"1006","31071","Drone Explorer",2018,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,109,9.99,0.091651376146789,3848,572
"1007","31072","Extreme Engines",2018,"Creator","Model making","3 in 1","Normal","Box","Retail",6,0,109,9.99,0.091651376146789,3611,467
"1008","31073","Mythical Creatures",2018,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,223,14.99,0.067219730941704,4027,625
"1009","31074","Rocket Rally Car",2018,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,241,19.99,0.0829460580912863,2155,520
"1010","31075","Outback Adventures",2018,"Creator","Model making","3 in 1","Normal","Box","Retail",7,1,225,19.99,0.0888444444444444,2321,1061
"1011","31076","Daredevil Stunt Plane",2018,"Creator","Model making","3 in 1","Normal","Box","Retail",7,1,200,19.99,0.09995,2782,900
"1012","31077","Modular Sweet Surprises",2018,"Creator","Model making","3 in 1","Normal","Box","Retail",8,3,396,34.99,0.0883585858585859,4369,1843
"1013","31078","Tree House Treasures ",2018,"Creator","Model making","3 in 1","Normal","Box","{Not specified}",NA,2,260,29.99,0.115346153846154,3552,1441
"1014","31079","Sunshine Surfer Van",2018,"Creator","Model making","3 in 1","Normal","Box","Retail",8,2,379,29.99,0.0791292875989446,6677,1900
"1015","31080","Modular Winter Vacation",2018,"Creator","Model making","3 in 1","Normal","Box","Retail",7,2,374,29.99,0.0801871657754011,3027,1639
"1016","31081","Modular Skate House",2018,"Creator","Model making","3 in 1","Normal","Box","Retail",8,2,422,39.99,0.0947630331753554,3148,1747
"1017","31083","Cruising Adventures",2018,"Creator","Model making","3 in 1","Normal","Box","Retail",NA,3,597,49.99,0.0837353433835846,2838,1320
"1018","31084","Pirate Roller Coaster",2018,"Creator","Model making","3 in 1","Normal","Box","Retail",9,5,923,79.99,0.0866630552546045,6968,2537
"1019","31085","Mobile Stunt Show",2018,"Creator","Model making","3 in 1","Normal","Box","Retail",NA,2,581,49.99,0.0860413080895009,1186,658
"1020","40187","Flower Display",2018,"Seasonal","Miscellaneous","Valentine's Day","Normal","Box","LEGO exclusive",7,0,100,5.99,0.0599,5010,607
"1021","40188","Pencil Pot",2018,"Miscellaneous","Miscellaneous","Accessories","Normal","Box","Retail - limited",7,1,187,12.66,0.0677005347593583,1918,499
"1022","40197","Wedding Favour Set 2018",2018,"Miscellaneous","Miscellaneous",NA,"Normal","Box","LEGO exclusive",7,2,132,9.99,0.0756818181818182,4004,786
"1023","40198","LEGO Ludo Game",2018,"Miscellaneous","Miscellaneous","Games","Normal","Box","LEGO exclusive",7,16,389,38.98,0.100205655526992,1778,466
"1024","40199","Billund Airport ",2018,"Miscellaneous","Miscellaneous",NA,"Normal","Box","Retail - limited",NA,0,286,52.79,0.18458041958042,790,960
"1025","40235","Year of the Dog",2018,"Seasonal","Miscellaneous","Chinese Traditional Festivals","Normal","Box","LEGO exclusive",7,0,156,9.99,0.0640384615384615,3260,848
"1026","40270","Valentine's Bee",2018,"BrickHeadz","Licensed","Seasonal","Normal","Box","LEGO exclusive",10,0,140,9.99,0.0713571428571429,7301,760
"1027","40271","Easter Bunny",2018,"BrickHeadz","Licensed","Seasonal","Normal","Box","LEGO exclusive",10,0,126,9.99,0.0792857142857143,7331,809
"1028","40272","Halloween Witch",2018,"BrickHeadz","Licensed","Seasonal","Normal","Box","LEGO exclusive",10,0,151,9.74,0.0645033112582781,5841,871
"1029","40273","Thanksgiving Turkey",2018,"BrickHeadz","Licensed","Seasonal","Normal","Box","LEGO exclusive",10,0,114,9.99,0.0876315789473684,5231,891
"1030","40274","Mr. & Mrs. Claus",2018,"BrickHeadz","Licensed","Seasonal","Normal","Box","LEGO exclusive",10,0,341,19.49,0.0571554252199413,9328,1234
"1031","40292","Christmas Gift Box",2018,"Seasonal","Miscellaneous","Christmas","Normal","Box","LEGO exclusive",7,2,301,24.63,0.0818272425249169,8823,1143
"1032","40293","Christmas Carousel",2018,"Seasonal","Miscellaneous","Christmas","Normal","Box","LEGO exclusive",7,0,251,43.1,0.171713147410359,5546,1413
"1033","40298","DJ",2018,"Star Wars","Licensed","Episode VIII","Normal","Polybag","Retail - limited",6,1,22,5.27,0.239545454545455,7211,1678
"1034","40302","Become my City Hero",2018,"City","Modern day","Mountain Police","Normal","Polybag","Retail - limited",NA,1,85,5.99,0.0704705882352941,394,688
"1035","40304","Numbers",2018,"Duplo","Pre-school",NA,"Normal","Polybag","{Not specified}",NA,0,11,4.99,0.453636363636364,183,49
"1036","40305","LEGO Brand Retail Store",2018,"Promotional","Miscellaneous","LEGO brand stores","Normal","Box","LEGO exclusive",8,2,362,24.99,0.0690331491712707,8446,1331
"1037","40306","Micro LEGOLAND® Castle",2018,"Promotional","Miscellaneous","LEGOLAND","Normal","Box","LEGOLAND exclusive",8,1,220,17.59,0.0799545454545455,2834,904
"1038","40307","Castle Interior Kit",2018,"Disney","Licensed","Disney Princess","Normal","Box","{Not specified}",NA,0,115,9.99,0.0868695652173913,1132,463
"1039","40309","Food Accessories",2018,"Xtra","Miscellaneous",NA,"Normal","Polybag","LEGO exclusive",6,0,30,3.99,0.133,4215,796
"1040","40310","Botanical Accessories",2018,"Xtra","Miscellaneous",NA,"Normal","Polybag","LEGO exclusive",6,0,24,3.99,0.16625,4021,846
"1041","40311","Traffic Lights",2018,"Xtra","Miscellaneous",NA,"Normal","Polybag","LEGO exclusive",6,0,46,3.99,0.0867391304347826,4389,821
"1042","40312","Streetlamps",2018,"Xtra","Miscellaneous",NA,"Normal","Polybag","LEGO exclusive",6,0,34,3.99,0.117352941176471,5391,878
"1043","40313","Bicycles",2018,"Xtra","Miscellaneous",NA,"Normal","Polybag","LEGO exclusive",6,0,21,3.89,0.185238095238095,3912,727
"1044","40314","Dr. Fox Magnifying Machine ",2018,"Unikitty","Licensed","Miscellaneous","Normal","Box","LEGO exclusive",6,0,76,16.99,0.223552631578947,390,197
"1045","40320","Plants From Plants",2018,"Promotional","Miscellaneous","Miscellaneous","Normal","Box","LEGO exclusive",6,0,29,7.48,0.257931034482759,2578,564
"1046","40358","Bean There, Donut That",2018,"Promotional","Miscellaneous","Target","Normal","Box","Retail - limited",7,4,146,13.19,0.0903424657534247,4892,1103
"1047","30553","Elsa's Winter Throne",2019,"Disney","Licensed","Frozen II","Normal","Polybag","Retail - limited",5,1,42,3.99,0.095,2554,214
"1048","30571","Pelican",2019,"Creator","Model making","Promotional","Normal","Polybag","Retail - limited",6,0,62,3.89,0.062741935483871,4819,506
"1049","30572","Race Car",2019,"Creator","Model making","Miscellaneous","Normal","Polybag","{Not specified}",NA,0,68,3.99,0.0586764705882353,2381,217
"1050","30573","Santa",2019,"Creator","Model making","Seasonal","Normal","Polybag","LEGO exclusive",6,0,67,3.51,0.0523880597014925,4363,379
"1051","31086","Futuristic Flyer",2019,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,157,14.61,0.0930573248407643,1776,462
"1052","31087","Dune Buggy",2019,"Creator","Model making","3 in 1","Normal","Box","Retail",NA,0,147,12.66,0.0861224489795918,2068,374
"1053","31088","Deep Sea Creatures",2019,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,230,14.99,0.0651739130434783,10483,865
"1054","31089","Sunset Track Racer",2019,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,221,19.99,0.0904524886877828,2253,498
"1055","31090","Underwater Robot",2019,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,207,19.99,0.0965700483091787,3256,684
"1056","31091","Shuttle Transporter",2019,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,341,24.36,0.0714369501466276,2874,684
"1057","31092","Helicopter Adventure",2019,"Creator","Model making","3 in 1","Normal","Box","Retail",NA,0,114,9.74,0.0854385964912281,1988,279
"1058","31093","Riverside Houseboat",2019,"Creator","Model making","3 in 1","Normal","Box","Retail",7,2,396,29.99,0.0757323232323232,4584,1433
"1059","31094","Race Plane",2019,"Creator","Model making","3 in 1","Normal","Box","Retail",7,1,333,29.23,0.0877777777777778,1764,761
"1060","31095","Fairground Carousel",2019,"Creator","Model making","3 in 1","Normal","Box","Retail",8,3,595,48.73,0.0818991596638655,4396,1524
"1061","31096","Twin-Rotor Helicopter",2019,"Creator","Model making","3 in 1","Normal","Box","Retail",9,1,569,48.73,0.0856414762741652,1219,734
"1062","31097","Townhouse Pet Shop & Café",2019,"Creator","Model making","3 in 1","Normal","Box","Retail",9,3,969,79.99,0.0825490196078431,6520,2710
"1063","31098","Outback Cabin",2019,"Creator","Model making","3 in 1","Normal","Box","Retail",7,2,305,29.23,0.0958360655737705,2106,1223
"1064","40186","Year of the Pig",2019,"Seasonal","Miscellaneous","Chinese Traditional Festivals","Normal","Box","LEGO exclusive",7,0,152,9.99,0.0657236842105263,3589,714
"1065","40333","Battle of Hoth - 20th Anniversary Edition",2019,"Star Wars","Licensed","Promotional","Normal","Box","LEGO exclusive",6,0,195,37.2,0.190769230769231,8985,2565
"1066","40334","Avengers Tower",2019,"Marvel Super Heroes","Licensed","The Avengers","Normal","Box","LEGO exclusive",10,1,211,26.4,0.125118483412322,6488,1657
"1067","40335","Space Rocket Ride",2019,"Ideas","Miscellaneous","Promotional","Normal","Box","LEGO exclusive",8,1,154,11.43,0.0742207792207792,10380,2001
"1068","40336","Newbury Juice Bar",2019,"Hidden Side","Action/Adventure","Promotional","Normal","Box","LEGO exclusive",10,2,127,12.99,0.102283464566929,6210,1087
"1069","40337","Microscale Gingerbread House",2019,"Seasonal","Miscellaneous","Christmas","Normal","Box","Retail - limited",10,0,499,19.48,0.0390380761523046,7473,1047
"1070","40338","Christmas Tree",2019,"Seasonal","Miscellaneous","Christmas","Normal","Box","LEGO exclusive",8,0,392,63.34,0.161581632653061,9209,1305
"1071","40341","Sea Accessories",2019,"Xtra","Miscellaneous",NA,"Normal","Polybag","LEGO exclusive",6,0,24,3.99,0.16625,3450,746
"1072","40342","NINJAGO Minifigure Set",2019,"Ninjago","Action/Adventure","Secrets of the Forbidden Spinjitzu","Normal","Blister pack","LEGO exclusive",8,4,59,12.99,0.220169491525424,2002,807
"1073","40343","Spider-Man and the Museum Break-In",2019,"Marvel Super Heroes","Licensed","Spider-Man: Far From Home","Normal","Blister pack","LEGO exclusive",8,3,49,14.61,0.298163265306122,4420,1699
"1074","40345","Mars Exploration Minifigure Pack",2019,"City","Modern day","Mars Exploration","Normal","Blister pack","LEGO exclusive",6,4,44,12.66,0.287727272727273,2291,1404
"1075","40346","LEGOLAND® Park",2019,"Promotional","Miscellaneous","LEGOLAND","Normal","Box","LEGOLAND exclusive",8,11,1336,119.99,0.089812874251497,2738,1467
"1076","40347","LEGOLAND® Driving School Cars",2019,"Promotional","Miscellaneous","LEGOLAND","Normal","Box","LEGOLAND exclusive",7,4,209,13.19,0.0631100478468899,2330,744
"1077","40348","Birthday Clown",2019,"BrickHeadz","Licensed","Seasonal","Normal","Box","LEGO exclusive",10,0,150,9.99,0.0666,5345,655
"1078","40349","Valentine's Puppy",2019,"BrickHeadz","Licensed","Seasonal","Normal","Box","LEGO exclusive",10,0,147,9.99,0.0679591836734694,4501,832
"1079","40350","Easter Chick",2019,"BrickHeadz","Licensed","Seasonal","Normal","Box","LEGO exclusive",10,0,120,9.99,0.08325,5295,793
"1080","40351","Halloween Ghost",2019,"BrickHeadz","Licensed","Seasonal","Normal","Box","LEGO exclusive",10,0,136,9.74,0.0716176470588235,4461,1661
"1081","40352","Thanksgiving Scarecrow",2019,"BrickHeadz","Licensed","Seasonal","Normal","Box","Retail - limited",10,0,177,9.99,0.0564406779661017,3603,939
"1082","40353","Reindeer, Elf and Elfie",2019,"BrickHeadz","Licensed","Seasonal","Normal","Box","LEGO exclusive",10,0,281,19.99,0.0711387900355872,6633,846
"1083","40354","Dragon Dance Guy",2019,"BrickHeadz","Licensed","Seasonal","Normal","Box","LEGO exclusive",10,0,170,9.99,0.0587647058823529,5179,758
"1084","40356","LEGO House Exclusive Minifigure 2019",2019,"Promotional","Miscellaneous","LEGO House","Normal","Other","LEGO exclusive",4,1,7,4.99,0.712857142857143,338,469
"1085","40359","LEGO Store Picture Frame",2019,"Miscellaneous","Miscellaneous","Photo Frames","Normal","Box","LEGO exclusive",7,1,170,14.99,0.0881764705882353,1419,635
"1086","40360","Name Sign",2019,"Friends","Modern day","Accessories","Normal","Box","LEGO exclusive",NA,0,91,9.99,0.10978021978022,193,227
"1087","40361","Olaf's Traveling Sleigh",2019,"Disney","Licensed","Frozen II","Normal","Box","LEGO exclusive",NA,1,97,13.81,0.142371134020619,794,394
"1088","40362","Battle of Endor",2019,"Star Wars","Licensed","Promotional","Normal","Box","LEGO exclusive",NA,0,197,38.2,0.193908629441624,7038,2583
"1089","40366","LEGO House Dinosaurs",2019,"Promotional","Miscellaneous","LEGO House","Normal","Box","Retail - limited",10,0,864,89.99,0.104155092592593,1528,894
"1090","40367","Lady Liberty",2019,"BrickHeadz","Licensed","Miscellaneous","Normal","Box","LEGO exclusive",10,0,153,9.99,0.0652941176470588,7467,867
"1091","40368","Xmas Accessories",2019,"Xtra","Miscellaneous",NA,"Normal","Polybag","LEGO exclusive",NA,1,32,3.99,0.1246875,2308,683
"1092","30549","Build Your Own Vehicles - Make It Yours",2020,"Miscellaneous","Miscellaneous","Make It Yours","Normal","Polybag","LEGO exclusive",NA,0,59,3.99,0.0676271186440678,1443,215
"1093","30550","Easter Bunny",2020,"Creator","Model making","Seasonal","Normal","Polybag","LEGO exclusive",NA,0,67,4.39,0.0655223880597015,4279,275
"1094","30554","Cinderella Mini Castle",2020,"Disney","Licensed","Cinderella","Normal","Polybag","{Not specified}",NA,1,43,4.39,0.102093023255814,1380,338
"1095","30555","Poppy's Carriage",2020,"Trolls World Tour","Licensed","Promotional","Normal","Polybag","Retail",NA,1,51,3.89,0.0762745098039216,3029,222
"1096","30556","Mini Frame",2020,"Dots","Art and crafts","Accessories","Normal","Polybag","LEGO exclusive",NA,0,85,3.99,0.0469411764705882,5090,157
"1097","30574","Cat",2020,"Creator","Model making","3 in 1","Normal","Polybag","Retail - limited",NA,0,55,3.99,0.0725454545454546,3079,572
"1098","30575","Train",2020,"Creator","Model making","Miscellaneous","Normal","Polybag","{Not specified}",6,0,59,3.99,0.0676271186440678,4730,593
"1099","30628","Monster Book of Monsters",2020,"Harry Potter","Licensed","Promotional","Normal","Box","LEGO exclusive",10,1,320,17.59,0.05496875,7680,2009
"1100","31099","Propeller Plane",2020,"Creator","Model making","3 in 1","Normal","Box","Retail",NA,0,128,9.99,0.078046875,2521,329
"1101","31100","Sports Car",2020,"Creator","Model making","3 in 1","Normal","Box","Retail",NA,0,134,9.99,0.0745522388059701,3022,314
"1102","31101","Monster Truck",2020,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,163,14.99,0.0919631901840491,1648,269
"1103","31102","Fire Dragon",2020,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,234,19.99,0.0854273504273504,2538,589
"1104","31103","Rocket Truck",2020,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,198,24.36,0.123030303030303,856,343
"1105","31104","Monster Burger Truck",2020,"Creator","Model making","3 in 1","Normal","Box","Retail",8,2,499,49.99,0.100180360721443,3042,1324
"1106","31105","Townhouse Toy Store",2020,"Creator","Model making","3 in 1","Normal","Box","Retail",8,2,554,49.99,0.0902346570397112,7473,2193
"1107","31107","Space Rover Explorer",2020,"Creator","Model making","3 in 1","Normal","Box","Retail",8,1,510,49.99,0.0980196078431373,2480,1243
"1108","31108","Caravan Family Holiday",2020,"Creator","Model making","3 in 1","Normal","Box","Retail",9,3,766,79.99,0.104425587467363,3649,1674
"1109","31109","Pirate Ship",2020,"Creator","Model making","3 in 1","Normal","Box","Retail",9,4,1264,129.99,0.102840189873418,9828,3122
"1110","31197","Andy Warhol's Marilyn Monroe",2020,"Art","Art and crafts","Miscellaneous","Normal","Box","LEGO exclusive",18,0,3341,119.99,0.0359143968871595,1567,525
"1111","31198","The Beatles",2020,"Art","Art and crafts","Music","Normal","Box","LEGO exclusive",18,0,2933,119.99,0.0409103307193999,1483,561
"1112","31199","Marvel Studios Iron Man",2020,"Art","Art and crafts","Licensed","Normal","Box","LEGO exclusive",18,0,3167,119.99,0.0378875907799179,2575,1195
"1113","31200","Star Wars The Sith",2020,"Art","Art and crafts","Licensed","Normal","Box","LEGO exclusive",18,0,3406,119.99,0.0352290076335878,4113,1435
"1114","40355","Year of the Rat",2020,"Seasonal","Miscellaneous","Chinese Traditional Festivals","Normal","Box","LEGO exclusive",7,0,162,9.99,0.0616666666666667,4405,542
"1115","40357","BYGGLEK",2020,"Miscellaneous","Miscellaneous",NA,"Normal","Box","Retail - limited",NA,0,201,14.99,0.0745771144278607,2809,309
"1116","40371","Easter Egg",2020,"Seasonal","Miscellaneous","Easter","Normal","Box","LEGO exclusive",8,0,239,12.99,0.0543514644351464,5077,275
"1117","40372","Police MF Accessory Set",2020,"City","Modern day","Police","Normal","Blister pack","LEGO exclusive",6,4,42,12.99,0.309285714285714,1208,781
"1118","40374","Golden Zane Accessory Set ",2020,"Ninjago","Action/Adventure","Rebooted","Normal","Blister pack","Retail",6,4,73,12.99,0.177945205479452,1384,716
"1119","40375","Sports Accessories",2020,"Xtra","Miscellaneous",NA,"Normal","Polybag","LEGO exclusive",6,0,36,3.99,0.110833333333333,2024,591
"1120","40376","Botanical Accessories",2020,"Xtra","Miscellaneous",NA,"Normal","Polybag","LEGO exclusive",6,0,32,3.99,0.1246875,2794,754
"1121","30557","Photo Holder Cube",2021,"Dots","Art and crafts","Accessories","Normal","Polybag","LEGO exclusive",NA,0,109,4.99,0.0457798165137615,1973,159
"1122","30558","Raya and the Ongi's Heart Lands Adventure",2021,"Disney","Licensed","Raya and the Last Dragon","Normal","Polybag","Retail",5,1,49,4.39,0.0895918367346939,1790,337
"1123","30563","Build Your Own Snail with Superpowers - Make It Yours",2021,"Miscellaneous","Miscellaneous","Make It Yours","Normal","Polybag","LEGO exclusive",5,0,36,2.63,0.0730555555555556,1341,186
"1124","30564","Build Your Own Monster or Vehicles – Make It Yours",2021,"Miscellaneous","Miscellaneous","Make It Yours","Normal","Polybag","LEGO exclusive",NA,0,60,3.99,0.0665,1351,169
"1125","30565","Birthday Clown",2021,"Creator","Model making","Seasonal","Normal","Polybag","{Not specified}",6,0,59,4.99,0.0845762711864407,1541,338
"1126","30566","Fire Helicopter",2021,"City","Modern day","Fire","Normal","Polybag","LEGO exclusive",5,1,35,3.99,0.114,3220,301
"1127","30567","Police Water Scooter",2021,"City","Modern day","Police","Normal","Polybag","LEGO exclusive",5,1,33,4.99,0.151212121212121,2897,414
"1128","30568","Skater",2021,"City","Modern day","Traffic","Normal","Polybag","{Not specified}",5,1,40,4.99,0.12475,3605,518
"1129","30569","LEGO Stand",2021,"City","Modern day","General","Normal","Polybag","{Not specified}",5,1,47,3.99,0.0848936170212766,2233,1684
"1130","30570","Wildlife Rescue Hovercraft",2021,"City","Modern day","Wildlife Rescue","Normal","Polybag","Retail - limited",5,1,35,4.39,0.125428571428571,3849,630
"1131","30577","Super Muscle Car",2021,"Creator","Model making","Miscellaneous","Normal","Polybag","{Not specified}",NA,0,63,4.99,0.0792063492063492,1219,288
"1132","30578","German Shepherd",2021,"Creator","Model making","3 in 1","Normal","Polybag","Retail",6,0,76,4.39,0.0577631578947368,3030,467
"1133","30579","Easter Chick Egg",2021,"Creator","Model making","Seasonal","Normal","Polybag","Retail",NA,0,52,3.99,0.0767307692307692,3253,294
"1134","30591","Titanium Mini Mech",2021,"Ninjago","Action/Adventure","Possession","Normal","Polybag","Retail",7,0,77,3.51,0.0455844155844156,1871,377
"1135","31111","Cyber Drone",2021,"Creator","Model making","3 in 1","Normal","Box","Retail",NA,1,113,9.99,0.0884070796460177,4393,745
"1136","31112","Wild Lion",2021,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,224,14.99,0.0669196428571429,2987,460
"1137","31113","Race Car Transporter",2021,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,328,24.99,0.0761890243902439,1506,352
"1138","31114","Superbike",2021,"Creator","Model making","3 in 1","Normal","Box","Retail",8,0,236,19.99,0.0847033898305085,1192,290
"1139","31115","Space Mining Mech",2021,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,327,24.99,0.0764220183486238,1643,683
"1140","31116","Safari Wildlife Tree House",2021,"Creator","Model making","3 in 1","Normal","Box","Retail",7,2,397,29.99,0.0755415617128463,2743,984
"1141","31117","Space Shuttle Adventure",2021,"Creator","Model making","3 in 1","Normal","Box","Retail",8,1,486,49.99,0.102860082304527,1817,962
"1142","31118","Surfer Beach House",2021,"Creator","Model making","3 in 1","Normal","Box","Retail",8,2,564,49.99,0.0886347517730496,3885,1573
"1143","31119","Ferris Wheel",2021,"Creator","Model making","3 in 1","Normal","Box","Retail",9,5,1002,89.99,0.089810379241517,3604,1617
"1144","31120","Medieval Castle",2021,"Creator","Model making","3 in 1","Normal","Box","Retail",9,4,1426,99.99,0.0701192145862553,7891,3116
"1145","31121","Crocodile",2021,"Creator","Model making","3 in 1","Normal","Box","Retail",7,0,454,29.99,0.066057268722467,1989,973
"1146","31122","Fish Tank",2021,"Creator","Model making","3 in 1","Normal","Box","Retail",8,0,352,29.99,0.0851988636363636,4753,1589
"1147","31201","Harry Potter Hogwarts Crests",2021,"Art","Art and crafts","Licensed","Normal","Box","Retail",18,0,4249,119.99,0.0282395857848906,2408,1018
"1148","31202","Disney's Mickey Mouse",2021,"Art","Art and crafts","Licensed","Normal","Box","Retail",18,0,2658,119.99,0.045142964635064,2277,810
"1149","31203","World Map",2021,"Art","Art and crafts","Miscellaneous","Normal","Box","Retail",18,0,11695,249.99,0.0213758016246259,2874,1811
"1150","30559","Elsa and Bruni's Forest Camp",2022,"Disney","Licensed","Frozen II","Normal","Polybag","Retail",5,1,58,4.99,0.0860344827586207,1043,364
"1151","30560","Pineapple Photo Holder and Mini Board",2022,"Dots","Art and crafts","Promotional","Normal","Polybag","Retail",NA,0,116,3.99,0.0343965517241379,953,117
"1152","30581","Tropical Parrot",2022,"Creator","Model making","3 in 1","Normal","Polybag","LEGO exclusive",NA,0,66,3.99,0.0604545454545455,2834,800
"1153","30582","Birthday Bear",2022,"Creator","Model making","Seasonal","Normal","Polybag","LEGO exclusive",NA,0,80,3.99,0.049875,1310,299
"1154","30583","Easter Bunny",2022,"Creator","Model making","Seasonal","Normal","Polybag","LEGO exclusive",NA,0,75,4.99,0.0665333333333333,4585,297
"1155","30584","Winter Holiday Train",2022,"Creator","Model making","Seasonal","Normal","Polybag","LEGO exclusive",NA,0,73,3.99,0.0546575342465753,5259,397
"1156","30585","Fire Patrol Vehicle",2022,"City","Modern day","Fire","Normal","Polybag","Retail",5,1,45,4.99,0.110888888888889,1430,510
"1157","30587","Police Robot Unit",2022,"City","Modern day","Police","Normal","Polybag","{Not specified}",5,0,36,4.99,0.138611111111111,NA,823
"1158","30588","Kids' Playground",2022,"City","Modern day","Park","Normal","Polybag","LEGO exclusive",5,2,51,4.39,0.086078431372549,3076,889
"1159","30589","Go-Kart Racer",2022,"City","Modern day","Racing","Normal","Polybag","Retail",5,1,39,4.99,0.127948717948718,2644,601
